food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
DR135,"Peterseli, segar",DABM-1964,"83,9",53,"3,7",1,9,0,"2,4",193,84,"4,3","18,2","1125,6","0,2","1,4",,2940,8230,"0,11","0,29","0,7",193,95,D,DR,S,Sayur,tkpi_main_group,"peterseli, segar",peterseli,peterseli,1 gelas,100,False,False,False,False
DR136,"Pucuk lumai/daun leunca, segar",KZGMI-2001,91,33,"4,5","0,4","2,8",,"1,3",13,75,"2,9",2,0,"0,2","0,6",,,,"0,5","0,1",,41,70,D,DR,S,Sayur,tkpi_main_group,"pucuk lumai/daun leunca, segar",pucuk lumai daun leunca,pucuk lumai daun leunca,1 gelas,100,False,False,False,False
DR137,"Putri malu, segar",KZGMI-2001,"80,2",76,"3,6","0,3","14,6","7,1","1,3",119,84,"3,3",1,631,"0,6","1,4",,4762,,"0,6","0,6",,6,,D,DR,S,Sayur,tkpi_main_group,"putri malu, segar",putri malu,putri malu,1 gelas,100,False,False,False,False
DR138,"Rebung, segar",KZGMI-2001,"93,3",25,"0,8","0,1","5,3","9,7","0,5",3,5,"0,5",3,206,"0,1","0,4",,10,,"0,2","0,07","0,5",0,28,D,DR,S,Sayur,tkpi_main_group,"rebung, segar",rebung,rebung,1 gelas,100,False,False,False,False
DR139,"Rimbang, segar",KZGMI-2001,"80,8",75,"1,6","0,6","15,8",10,"1,2",55,97,"0,6",20,234,"0,4","0,4",,51,,"0,4","0,1","1,3",38,95,D,DR,S,Sayur,tkpi_main_group,"rimbang, segar",rimbang,rimbang,1 gelas,100,False,False,False,False
DR140,Rumput laut,KZGMI-2001,87,41,"1,4","0,3","8,1","2,2","3,2",80,20,"1,6",250,380,"0,2","0,4",,1958,,"0,2",0,"0,1",7,100,D,DR,S,Sayur,tkpi_main_group,rumput laut,rumput laut,rumput laut,1 gelas,100,False,False,False,False
DR141,"Sawi, segar",DABM-1964,"92,2",28,"2,3","0,3",4,"2,5","1,2",220,38,"2,9","21,9","436,5","0,12","0,2",,2042,6460,"0,09","0,23","0,7",102,87,D,DR,S,Sayur,tkpi_main_group,"sawi, segar",sawi,sawi,1 gelas,100,False,False,False,False
DR142,"Sawi putih/ pecai, segar",KZGPI-1990,"96,6",9,1,"0,1","1,7","0,8","0,6",56,42,"1,1",5,"193,1","0,05","0,1",0,862,832,"0,05","0,18","0,4",3,79,D,DR,S,Sayur,tkpi_main_group,"sawi putih/ pecai, segar",sawi putih pecai,sawi putih pecai,1 gelas,100,False,False,False,False
DR143,"Sawi taiwan, segar",KZGMI-2001,"91,8",30,"1,9","0,5","4,4","2,7","1,4",100,58,"1,6",27,217,"0,1","0,7",,1340,,"0,2","0,1","0,6",33,85,D,DR,S,Sayur,tkpi_main_group,"sawi taiwan, segar",sawi taiwan,sawi taiwan,1 gelas,100,False,False,False,False
DR144,"Sawi tanah, segar",KZGMI-2001,"94,9",19,"1,3","0,2","2,9","2,2",1,92,45,"1,2",17,145,"0,1","0,4",,815,,"0,2","0,1","0,1",36,85,D,DR,S,Sayur,tkpi_main_group,"sawi tanah, segar",sawi tanah,sawi tanah,1 gelas,100,False,False,False,False
DR145,"Selada, segar",DABM-1964,"94,8",18,"1,2","0,2","2,9","1,8","0,9",22,25,"0,5","18,6","186,4","0,03","0,2",,1526,540,"0,04","0,13","0,4",8,69,D,DR,S,Sayur,tkpi_main_group,"selada, segar",selada,selada,1 gelas,100,False,False,False,False
DR146,"Selada air, segar",KZGPI-1990,"93,3",17,"3,1","0,2","2,2","0,7","1,2",95,152,"2,4","64,9","260,7","0,11","0,2",0,1230,3727,"0,09","0,14","0,7",56,70,D,DR,S,Sayur,tkpi_main_group,"selada air, segar",selada air,selada air,1 gelas,100,False,False,False,False
DR147,"Seledri, segar",DABM-1964,93,23,1,"0,1","4,6",2,"1,3",50,40,1,"64,5","258,8","0,08","0,4",,63,130,"0,03","0,07","0,4",11,63,D,DR,S,Sayur,tkpi_main_group,"seledri, segar",seledri,seledri,1 gelas,100,False,False,False,False
DR148,"Taoge, segar",KZGPI-1990,"90,4",34,"3,7","1,2","4,3","1,1","0,4",166,74,"0,8","18,9","93,3","0,16","0,4",,41,20,"0,09","0,15","1,1",5,100,D,DR,S,Sayur,tkpi_main_group,"taoge, segar",taoge,taoge,1 gelas,100,False,False,False,False
DR149,"Taoge kacang kedelai, segar",DABM-1964,81,76,9,"2,6","6,4","0,7",1,50,65,1,"4,7","212,4","0,26","0,7",,0,110,"0,23","0,19","1,2",15,100,D,DR,S,Sayur,tkpi_main_group,"taoge kacang kedelai, segar",taoge kacang kedelai,taoge kacang kedelai,1 gelas,100,False,False,False,False
DR150,"Taoge kacang tunggak, segar",DABM-1964,88,40,5,"0,2","5,8","2,6",1,57,88,1,"2,1","226,8","0,07","0,5",,299,0,"0,07","0,08","0,8",15,90,D,DR,S,Sayur,tkpi_main_group,"taoge kacang tunggak, segar",taoge kacang tunggak,taoge kacang tunggak,1 gelas,100,False,False,False,False
DR151,"Tebu terubuk (lilin), segar",DABM-1964,91,30,"4,6","0,4",3,"0,8",1,40,80,2,"698,6",,"0,2","1,1",,12,0,"0,08","0,2","1,2",50,20,D,DR,S,Sayur,tkpi_main_group,"tebu terubuk (lilin), segar",tebu terubuk (lilin),tebu terubuk (lilin),1 gelas,100,False,False,False,False
DR152,"Tekokak, segar",DABM-1964,89,34,2,"0,1","7,9","4,9",1,50,30,2,"2,9","333,3","0,12","0,2",,23,750,"0,08","0,05","0,9",8,95,D,DR,S,Sayur,tkpi_main_group,"tekokak, segar",tekokak,tekokak,1 gelas,100,False,False,False,False
DR153,"Tekokak, kering",DABM-1964,"12,3",302,"8,3","1,7","72,6","21,2","8,1",370,180,"22,2","8,5",0,"1044,2",1,,187,750,"0,4","0,17","5,1",0,100,D,DR,S,Sayur,tkpi_main_group,"tekokak, kering","tekokak, kering","tekokak, kering",1 gelas,100,False,False,False,False
DR154,"Terong, segar",DABM-1964,"92,7",28,"1,1","0,2","5,5","2,1","0,5",15,37,"0,4","8,9",187,"0,1","0,1",,46,30,"0,04","0,03","0,5",5,100,D,DR,S,Sayur,tkpi_main_group,"terong, segar",terong,terong,1 gelas,100,False,False,False,False
DR155,"Terong asam, segar",KZGMI-2001,"90,5",37,2,"0,4","6,3","3,2","0,8",13,59,"1,5",3,155,"0,3","0,3",,97,,"0,2","0,1","0,8",4,,D,DR,S,Sayur,tkpi_main_group,"terong asam, segar",terong asam,terong asam,1 gelas,100,False,False,False,False
DR156,"Terung belanda, segar",KZGPI-1990,"87,3",52,"2,1","1,1","8,6","1,4",1,16,40,"1,1",,,,,0,,8048,"0,42","0,06",0,12,100,D,DR,S,Sayur,tkpi_main_group,"terung belanda, segar",terung belanda,terung belanda,1 gelas,100,False,False,False,False
DR157,"Terung bengkulu, segar",KZGPI-1990,"86,6",52,"1,1","0,4","11,2","3,2","0,8",19,39,"1,1","13,7",,"0,16",1,0,85,600,"0,23","0,04",0,6,100,D,DR,S,Sayur,tkpi_main_group,"terung bengkulu, segar",terung bengkulu,terung bengkulu,1 gelas,100,False,False,False,False
DR158,"Terong hintalo, segar",KZGMI-2001,"89,2",45,"1,9","0,8","7,5","5,1","0,6",19,268,1,167,142,"0,6","0,2",,552,,"0,2","0,4",,4,,D,DR,S,Sayur,tkpi_main_group,"terong hintalo, segar",terong hintalo,terong hintalo,1 gelas,100,False,False,False,False
DR159,Terung panjang,KZGPI-1990,"91,8",25,"2,1","0,1","5,3","0,5","0,7",38,24,"0,7","8,8","53,7","0,09","0,2",0,83,24,"0,15","0,06","0,7",8,100,D,DR,S,Sayur,tkpi_main_group,terung panjang,terung panjang,terung panjang,1 gelas,100,False,False,False,False
DR160,"Tomat, air (sari), segar",DABM-1964,94,20,1,"0,2","3,5","0,4","1,3",7,15,"0,4","9,8","225,2","0,06","0,1",,266,600,"0,05","0,03","0,7",10,100,D,DR,S,Sayur,tkpi_main_group,"tomat, air (sari), segar","tomat, air (sari)","tomat, air (sari)",1 gelas,100,False,False,False,False
DR161,"Tomat merah, segar",KZGPI-1990,"92,9",24,"1,3","0,5","4,7","1,5","0,6",8,77,"0,6","9,8","164,9","0,14","0,2",,575,2083,"0,06","0,07","0,4",34,100,D,DR,S,Sayur,tkpi_main_group,"tomat merah, segar",tomat merah,tomat merah,1 gelas,100,False,False,False,False
DR162,"Tomat muda, segar",DABM-1964,93,24,2,"0,7","3,3","1,8",2,5,27,"0,5","10,3",210,"0,07","0,2",,384,320,"0,07","0,04","0,7",30,95,D,DR,S,Sayur,tkpi_main_group,"tomat muda, segar",tomat muda,tomat muda,1 gelas,100,False,False,False,False
DR163,"Uceng/ bunga melinjo, segar",KZGPI-1990,"79,5",82,"5,8","1,3","11,7","4,8","1,7",70,266,"2,4",,,,,,,58,"0,11","0,15",,3,89,D,DR,S,Sayur,tkpi_main_group,"uceng/ bunga melinjo, segar",uceng bunga melinjo,uceng bunga melinjo,1 gelas,100,False,False,False,False
DR164,"Umbut kelapa, segar",KZGMI-2001,"89,3",39,2,"0,2","7,2","2,5","1,3",57,49,,4,447,"0,2","1,4",,16,,"0,1","0,1",,8,,D,DR,S,Sayur,tkpi_main_group,"umbut kelapa, segar",umbut kelapa,umbut kelapa,1 gelas,100,False,False,False,False
DR165,Umbut rotan,KZGMI-2001,"90,5",34,"2,4","0,3","5,5","2,2","1,3",89,79,"1,3",8,552,"0,2","1,9",,14,,"0,2",,,9,,D,DR,S,Sayur,tkpi_main_group,umbut rotan,umbut rotan,umbut rotan,1 gelas,100,False,False,False,False
DR166,"Wortel, segar",KZGPI-1990,"89,9",36,1,"0,6","7,9",1,"0,6",45,74,1,70,245,"0,06","0,3",,3784,7125,"0,04","0,04",1,18,80,D,DR,S,Sayur,tkpi_main_group,"wortel, segar",wortel,wortel,1 gelas,100,False,False,False,False
ER006,"Belimbing, segar",DABM-1964,90,36,"0,4","0,4","8,8","3,2","0,4",4,12,"1,1",4,130,,"0,1",,29,170,"0,03",,,35,86,E,ER,B,Buah,tkpi_main_group,"belimbing, segar",belimbing,belimbing,1 buah besar,125-140,False,True,False,False
ER022,"Duku, segar",DABM-1964,82,63,1,"0,2","16,1","4,3","0,7",18,9,"0,9",2,149,"0,09","0,2",,0,0,"0,05","0,15","1,5",9,64,E,ER,B,Buah,tkpi_main_group,"duku, segar",duku,duku,10-16 buah sedang,80,False,True,False,False
ER023,"Durian, segar",DABM-1964,65,149,"2,5",3,"21,5","3,5",8,7,44,"1,3",1,601,"0,12","0,3",,146,175,"0,1","0,19","136,5",53,22,E,ER,B,Buah,tkpi_main_group,"durian, segar",durian,durian,2 biji besar,35,False,True,False,False
ER035,"Jeruk bali, segar",DABM-1964,86,48,"0,6","0,2","12,4","0,8","0,5",23,27,"0,5",21,"366,1","171,25","0,1",,33,20,"0,04",0,"0,4",43,62,E,ER,B,Buah,tkpi_main_group,"jeruk bali, segar",jeruk bali,jeruk bali,1 potong,105,False,True,False,False
ER039,"Jeruk manis, segar",DABM-1964,87,45,"0,9","0,2","11,2","1,4","0,5",33,23,"0,4",4,"472,1",160,"0,2",,0,190,"0,08","0,03","0,2",49,72,E,ER,B,Buah,tkpi_main_group,"jeruk manis, segar",jeruk manis,jeruk manis,2 buah sedang,100,False,True,False,False
ER040,"Jeruk nipis, segar",KZGPI- 1990,89,44,"0,5","0,2",10,"0,4","0,4",18,22,"0,2",3,"108,9","0,06","0,1",,23,4,"0,01","0,03","0,2",20,76,E,ER,B,Buah,tkpi_main_group,"jeruk nipis, segar",jeruk nipis,jeruk nipis,1 ½ gelas,135,False,True,False,False
ER044,"Kedondong, segar",KZGMI-2001,88,47,"0,5","0,2","10,4","2,7","0,6",7,58,"0,8",2,0,,"0,2",,,,,,"0,4",32,58,E,ER,B,Buah,tkpi_main_group,"kedondong, segar",kedondong,kedondong,2 buah sedang/besar,100/120,False,True,False,False
ER048,"Kesemek, segar",DABM-1964,78,78,"0,8","0,4",20,"0,6","0,6",6,26,"0,3",0,"34,5","0,13","0,1",,,2710,,,"0,1",11,97,E,ER,B,Buah,tkpi_main_group,"kesemek, segar",kesemek,kesemek,1 ½ buah,65,False,True,False,False
ER054,"Mangga, segar",KZGMI-2001,87,52,"0,7",0,"12,3","1,6","0,2",20,16,1,3,140,"0,33",0,,,,,,"0,3",12,65,E,ER,B,Buah,tkpi_main_group,"mangga, segar",mangga,mangga,¾ buah besar,90,False,True,False,False
ER064,"Manggis, segar",DABM-1964,83,63,"0,6","0,6","15,6","1,5","0,2",8,12,"0,8",10,"61,9","0,1","0,1",,0,0,"0,03","0,03","0,3",5,29,E,ER,B,Buah,tkpi_main_group,"manggis, segar",manggis,manggis,2 buah sedang,80,False,True,False,False
ER065,"Markisa, segar",KZGPI- 1990,65,144,"3,5","1,2","29,8","11,4","0,8",27,203,"1,4",37,"453,8","0,11","0,1",0,969,691,"0,02","0,17",2,10,48,E,ER,B,Buah,tkpi_main_group,"markisa, segar",markisa,markisa,¾ buah sedang,35,False,True,False,False
ER067,"Melon, segar",BKP,91,37,"0,6","0,4","7,8",1,"0,5",12,14,"0,4",27,167,"0,3","0,1",,1,0,"0,02","0,1",0,0,"58,1",E,ER,B,Buah,tkpi_main_group,"melon, segar",melon,melon,1 potong,90,False,True,False,False
ER073,"Pepaya, segar",DABM-1964,87,46,"0,5","0,1","12,2","1,6","0,6",23,12,"1,7",4,221,"0,02","0,3",,1038,365,"0,04","0,06","0,4",78,75,E,ER,B,Buah,tkpi_main_group,"pepaya, segar",pepaya,pepaya,1 potong besar,100-190,False,True,False,False
ER074,"Pisang ambon, segar",KZGMI-2001,73,108,1,"0,8","24,3","1,9",1,20,30,"0,2",10,"356,3","0,2","0,2",,37,,"0,05","0,11","0,1",9,75,E,ER,B,Buah,tkpi_main_group,"pisang ambon, segar",pisang ambon,pisang ambon,1 buah sedang,50,False,True,False,False
ER081,"Pisang kepok, segar",KZGMI-2001,72,109,"0,8","0,5","26,3","5,7",1,10,30,"0,5",10,300,"0,1","0,2",,0,,"0,1",0,"0,1",9,75,E,ER,B,Buah,tkpi_main_group,"pisang kepok, segar",pisang kepok,pisang kepok,1 buah,45,False,True,False,False
ER087,"Pisang mas, segar",DABM-1964,64,127,"1,4","0,2","33,6","1,4","0,6",7,25,"0,8",42,392,"195,78",,,17,,"0,09","0,08","4,5",2,85,E,ER,B,Buah,tkpi_main_group,"pisang mas, segar",pisang mas,pisang mas,2 buah,40,False,True,False,False
ER089,"Pisang raja, segar",DABM-1964,66,120,"1,2","0,2","31,8","5,3",1,10,22,"0,8",35,"582,2","0,31",,,53,,"0,06","0,14","1,2",10,70,E,ER,B,Buah,tkpi_main_group,"pisang raja, segar",pisang raja,pisang raja,2 buah kecil,40,False,True,False,False
ER097,"Rambutan, segar",DABM-1964,81,69,"0,9","0,1","18,1","0,8","0,4",16,16,"0,5",16,"104,2","0,17",,,0,,0,"0,07","0,5",58,40,E,ER,B,Buah,tkpi_main_group,"rambutan, segar",rambutan,rambutan,8 buah,75,False,True,False,False
ER101,"Salak, segar",DABM-1964,78,77,"0,4",,"20,9",,"0,7",28,18,"4,2",,,"0,08",,,4,,"0,04",,,2,93,E,ER,B,Buah,tkpi_main_group,"salak, segar",salak,salak,2 buah sedang,65,False,True,False,False
ER105,"Semangka, segar",DABM-1964,92,28,"0,5","0,2","6,9","0,4","0,3",7,12,"0,2",7,"93,8","0,04",,,315,,"0,05","0,05","0,3",6,46,E,ER,B,Buah,tkpi_main_group,"semangka, segar",semangka,semangka,2 potong sedang,180,False,True,False,False
ER106,"Sirsak, segar",DABM-1964,82,65,1,"0,3","16,3","3,2","0,7",14,27,"0,6",2,"298,9","0,08",1,,8,10,"0,07","0,08","0,7",20,68,E,ER,B,Buah,tkpi_main_group,"sirsak, segar",sirsak,sirsak,½ gelas,60,False,True,False,False
ER108,"Srikaya, segar",KZGPI- 1990,83,63,"1,1","0,5","13,9","2,1","1,1",127,30,"2,7",,,,,0,,31,"0,08",,,28,48,E,ER,B,Buah,tkpi_main_group,"srikaya, segar",srikaya,srikaya,2 buah besar,50,False,True,False,False
FR001,"Anak sapi, daging, gemuk, segar",DABM-1964,62,184,"18,8",14,0,0,"5,2",10,200,"2,2",118,"490,1","0,17","3,3",12,,,,,7,,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, gemuk, segar",daging sapi,"anak sapi, daging, gemuk",1 potong sedang,35,False,True,False,False
FR002,"Anak sapi, daging, kurus, segar",DABM-1964,69,174,"19,6",10,0,0,"1,4",11,201,"2,9",96,"399,8","0,14","2,7",6,,,,,"5,7",0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, kurus, segar",daging sapi,"anak sapi, daging, kurus",1 potong sedang,35,False,True,False,False
FR003,"Anak sapi, daging, sedang, segar",DABM-1964,68,190,"19,1",12,0,0,"0,9",11,193,"2,9",99,"412,7","0,14","2,8",12,,,,,"5,9",0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, sedang, segar",daging sapi,"anak sapi, daging, sedang",1 potong sedang,35,False,True,False,False
FR005,"Ayam, daging, segar",DABM-1964,"55,9",298,"18,2",25,0,0,"0,9",14,200,"1,5",109,"385,9","0,11","0,6",245,,,,,"10,4",0,58,F,FR,LH,Lauk Hewani,tkpi_main_group,"ayam, daging, segar",daging ayam,"ayam, daging",1 potong sedang,40,False,True,False,False
FR024,"Sapi, daging, gemuk, segar",DABM-1964,60,273,"17,5",22,0,0,"0,5",10,150,"2,6",93,267,"0,17","6,4",12,,,,,"7,3",0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, gemuk, segar",daging sapi,"sapi, daging, gemuk",1 potong sedang,35,False,True,False,False
FR025,"Sapi, daging, kurus, segar",DABM-1964,69,174,"19,6",10,0,0,"1,4",11,181,"2,9",83,489,"0,07","4,9",6,,,,,"1,2",0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, kurus, segar",daging sapi,"sapi, daging, kurus",1 potong sedang,35,False,True,False,False
FP005,Ham,DABM-1964,42,384,"16,9",35,"0,3",0,"5,8",10,136,"2,5",112,"819,3","0,11","0,4",0,,,,,"9,7",0,100,F,FP,LH,Lauk Hewani,tkpi_main_group,ham,ham,ham,1/2 potong kecil,40,True,True,False,False
GR001,"Belut, segar",KZGMI-2001,"81,5",70,"14,6","0,8",1,0,"2,1",49,155,"1,5",55,169,"0,2","1,2",,0,,"0,22","0,12","7,7",,,G,GR,LH,Lauk Hewani,tkpi_main_group,"belut, segar",belut,belut,3 ekor,45,False,True,False,False
GR003,"Cumi-cumi, segar",KZGPI- 1990,"82,2",75,"16,1","0,7","0,1",0,"0,9",32,200,"1,8",37,"204,1","1,6","1,3",0,20,0,"0,08",0,"2,5",0,,G,GR,LH,Lauk Hewani,tkpi_main_group,"cumi-cumi, segar",cumi-cumi,cumi-cumi,1 ekor kecil,45,False,True,False,False
GR030,"Ikan kakap, segar",DABM- 1964,77,92,20,"0,7",0,0,"2,3",20,200,1,,,,,9,,,"0,05",,,0,,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan kakap, segar",ikan kakap,ikan kakap,1/3 ekor besar,35,False,True,False,False
GR042,"Ikan lemuru, segar",DABM- 1964,76,112,20,3,0,0,1,20,100,1,,,,,30,0,,"0,05",,,0,80,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan lemuru, segar",ikan lemuru,ikan lemuru,1 potong sedang,35,False,True,False,False
GR046,"Ikan mas, segar",DABM- 1964,80,86,16,2,0,0,2,20,150,2,65,"276,7","0,1","1,1",45,8,,"0,05","0,1","2,6",0,80,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan mas, segar",ikan mas,ikan mas,1/3 ekor sedang,45,False,True,False,False
GR074,"Kerang, segar",KZGPI- 1990,"78,2",101,"14,4","2,6","3,9",0,"0,9",321,270,"15,6",,,,,0,,0,"0,01",,,0,100,G,GR,LH,Lauk Hewani,tkpi_main_group,"kerang, segar",kerang,kerang,1/2 gelas,90,False,True,False,False
GP009,"Ikan cakalang asin, mentah",KZGPI- 1990,"41,7",198,"36,5","2,2","5,5",0,"14,1",236,346,"3,7",4304,"302,1",,,0,,0,"0,06",,,0,70,G,GP,LH,Lauk Hewani,tkpi_main_group,"ikan cakalang asin, mentah",ikan cakalang asin,ikan cakalang asin,1 potong sedang,20,True,True,False,False
JR003,"Susu kambing, segar",DABM-1964,"85,9",64,"4,3","2,3","6,6",0,"0,9",98,78,"2,7",35,160,"0,33","0,1",38,0,,"0,06","0,45","0,3",1,100,J,JR,SS,Susu,tkpi_main_group,"susu kambing, segar",susu kambing,susu kambing,3/4 gelas,185,False,True,False,False
JR004,"Susu kerbau, segar",DABM-1964,"73,8",160,"6,3",12,"7,1",,"0,8",216,101,"0,2",82,,,"0,3",24,,,"0,04","0,07",,1,100,J,JR,SS,Susu,tkpi_main_group,"susu kerbau, segar",susu kerbau,susu kerbau,1/2 gelas,100,False,True,False,False
JR006,"Susu sapi, segar",DABM-1964,"88,3",61,"3,2","3,5","4,3",0,"0,7",143,60,"1,7",36,149,"0,02","0,3",39,12,,"0,03","0,18","0,2",1,100,J,JR,SS,Susu,tkpi_main_group,"susu sapi, segar",susu sapi,susu sapi,1 gelas,200,False,True,False,False
KR009,Minyak kacang tanah,DABM-1964,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kacang tanah,minyak kacang tanah,minyak kacang tanah,1 sendok teh,5,False,True,False,False
KR010,Minyak kedelai,FCTEA-1972,"0,1",883,0,"99,9",0,0,0,0,0,0,0,"0,1",0,0,0,0,,0,0,0,0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kedelai,minyak kedelai,minyak kedelai,1 sendok teh,5,False,True,False,False
KR011,Minyak kelapa,DABM-1964,0,870,1,98,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kelapa,minyak kelapa,minyak kelapa,1 sendok teh,5,False,True,False,False
KR014,Minyak zaitun,DABM- 1964,0,884,0,100,0,0,0,14,0,"1,2",7,0,0,0,,0,,0,0,5,,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak zaitun,minyak zaitun,minyak zaitun,1 sendok teh,5,False,True,False,False
KP002,Mentega,DABM- 1964,16,742,"0,5","81,6","1,4",0,"1,9",15,16,"1,1",653,103,0,"0,4",1000,155,,0,"0,1",0,,100,K,KP,M,Minyak / Lemak,keyword_rule,mentega,mentega,mentega,1sendok makan,15,True,True,False,False
MP006,Gula kelapa,DABM- 1964,10,386,3,10,76,0,1,76,37,"2,6",2,0,0,0,0,0,,0,"0,34","0,5",0,100,M,MP,G,Gula,keyword_rule,gula kelapa,gula kelapa,gula kelapa,1 sendok makan,10,True,True,False,False
MP010,Madu,DABM- 1964,20,294,"0,3",0,"79,5","0,2","0,2",5,16,"0,9",6,"26,9","0,04","0,2",0,0,,0,"0,04","0,1",4,100,M,MP,G,Gula,keyword_rule,madu,madu,madu,1 sendok makan,15,True,True,False,False
MP014,Sirup,DABM- 1964,44,213,0,0,55,0,1,0,0,0,3,"4,2",,,,0,,0,0,0,,100,M,MP,G,Gula,keyword_rule,sirup,sirup,sirup,1 sendok makan,15,True,True,False,False
