food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready
DR152,"Tekokak, segar",DABM-1964,89,34,2.0,0.1,7.9,4.9,1,50,30,2,2.9,333.3,"0,12","0,2",,23,750,"0,08","0,05","0,9",8.0,95,D,DR,S,Sayur,tkpi_main_group,"tekokak, segar",tekokak,tekokak,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,2.0,0.1,7.9,2.9,333.3,50.0,4.9,False,True
DR153,"Tekokak, kering",DABM-1964,"12,3",302,8.3,1.7,72.6,21.2,"8,1",370,180,"22,2",8.5,0.0,"1044,2",1,,187,750,"0,4","0,17","5,1",0.0,100,D,DR,S,Sayur,tkpi_main_group,"tekokak, kering","tekokak, kering","tekokak, kering",1 gelas,1.0,gelas,100.0,False,False,False,False,302.0,8.3,1.7,72.6,8.5,0.0,370.0,21.2,False,True
DR154,"Terong, segar",DABM-1964,"92,7",28,1.1,0.2,5.5,2.1,"0,5",15,37,"0,4",8.9,187.0,"0,1","0,1",,46,30,"0,04","0,03","0,5",5.0,100,D,DR,S,Sayur,tkpi_main_group,"terong, segar",terong,terong,1 gelas,1.0,gelas,100.0,False,False,False,False,28.0,1.1,0.2,5.5,8.9,187.0,15.0,2.1,False,True
DR155,"Terong asam, segar",KZGMI-2001,"90,5",37,2.0,0.4,6.3,3.2,"0,8",13,59,"1,5",3.0,155.0,"0,3","0,3",,97,,"0,2","0,1","0,8",4.0,,D,DR,S,Sayur,tkpi_main_group,"terong asam, segar",terong asam,terong asam,1 gelas,1.0,gelas,100.0,False,False,False,False,37.0,2.0,0.4,6.3,3.0,155.0,13.0,3.2,False,True
DR156,"Terung belanda, segar",KZGPI-1990,"87,3",52,2.1,1.1,8.6,1.4,1,16,40,"1,1",,,,,0.0,,8048,"0,42","0,06",0,12.0,100,D,DR,S,Sayur,tkpi_main_group,"terung belanda, segar",terung belanda,terung belanda,1 gelas,1.0,gelas,100.0,False,False,False,False,52.0,2.1,1.1,8.6,,,16.0,1.4,False,True
DR157,"Terung bengkulu, segar",KZGPI-1990,"86,6",52,1.1,0.4,11.2,3.2,"0,8",19,39,"1,1",13.7,,"0,16",1,0.0,85,600,"0,23","0,04",0,6.0,100,D,DR,S,Sayur,tkpi_main_group,"terung bengkulu, segar",terung bengkulu,terung bengkulu,1 gelas,1.0,gelas,100.0,False,False,False,False,52.0,1.1,0.4,11.2,13.7,,19.0,3.2,False,True
DR158,"Terong hintalo, segar",KZGMI-2001,"89,2",45,1.9,0.8,7.5,5.1,"0,6",19,268,1,167.0,142.0,"0,6","0,2",,552,,"0,2","0,4",,4.0,,D,DR,S,Sayur,tkpi_main_group,"terong hintalo, segar",terong hintalo,terong hintalo,1 gelas,1.0,gelas,100.0,False,False,False,False,45.0,1.9,0.8,7.5,167.0,142.0,19.0,5.1,False,True
DR159,Terung panjang,KZGPI-1990,"91,8",25,2.1,0.1,5.3,0.5,"0,7",38,24,"0,7",8.8,53.7,"0,09","0,2",0.0,83,24,"0,15","0,06","0,7",8.0,100,D,DR,S,Sayur,tkpi_main_group,terung panjang,terung panjang,terung panjang,1 gelas,1.0,gelas,100.0,False,False,False,False,25.0,2.1,0.1,5.3,8.8,53.7,38.0,0.5,False,True
DR160,"Tomat, air (sari), segar",DABM-1964,94,20,1.0,0.2,3.5,0.4,"1,3",7,15,"0,4",9.8,225.2,"0,06","0,1",,266,600,"0,05","0,03","0,7",10.0,100,D,DR,S,Sayur,tkpi_main_group,"tomat, air (sari), segar","tomat, air (sari)","tomat, air (sari)",1 gelas,1.0,gelas,100.0,False,False,False,False,20.0,1.0,0.2,3.5,9.8,225.2,7.0,0.4,False,True
DR161,"Tomat merah, segar",KZGPI-1990,"92,9",24,1.3,0.5,4.7,1.5,"0,6",8,77,"0,6",9.8,164.9,"0,14","0,2",,575,2083,"0,06","0,07","0,4",34.0,100,D,DR,S,Sayur,tkpi_main_group,"tomat merah, segar",tomat merah,tomat merah,1 gelas,1.0,gelas,100.0,False,False,False,False,24.0,1.3,0.5,4.7,9.8,164.9,8.0,1.5,False,True
DR162,"Tomat muda, segar",DABM-1964,93,24,2.0,0.7,3.3,1.8,2,5,27,"0,5",10.3,210.0,"0,07","0,2",,384,320,"0,07","0,04","0,7",30.0,95,D,DR,S,Sayur,tkpi_main_group,"tomat muda, segar",tomat muda,tomat muda,1 gelas,1.0,gelas,100.0,False,False,False,False,24.0,2.0,0.7,3.3,10.3,210.0,5.0,1.8,False,True
DR163,"Uceng/ bunga melinjo, segar",KZGPI-1990,"79,5",82,5.8,1.3,11.7,4.8,"1,7",70,266,"2,4",,,,,,,58,"0,11","0,15",,3.0,89,D,DR,S,Sayur,tkpi_main_group,"uceng/ bunga melinjo, segar",uceng bunga melinjo,uceng bunga melinjo,1 gelas,1.0,gelas,100.0,False,False,False,False,82.0,5.8,1.3,11.7,,,70.0,4.8,False,True
DR164,"Umbut kelapa, segar",KZGMI-2001,"89,3",39,2.0,0.2,7.2,2.5,"1,3",57,49,,4.0,447.0,"0,2","1,4",,16,,"0,1","0,1",,8.0,,D,DR,S,Sayur,tkpi_main_group,"umbut kelapa, segar",umbut kelapa,umbut kelapa,1 gelas,1.0,gelas,100.0,False,False,False,False,39.0,2.0,0.2,7.2,4.0,447.0,57.0,2.5,False,True
DR165,Umbut rotan,KZGMI-2001,"90,5",34,2.4,0.3,5.5,2.2,"1,3",89,79,"1,3",8.0,552.0,"0,2","1,9",,14,,"0,2",,,9.0,,D,DR,S,Sayur,tkpi_main_group,umbut rotan,umbut rotan,umbut rotan,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,2.4,0.3,5.5,8.0,552.0,89.0,2.2,False,True
DR166,"Wortel, segar",KZGPI-1990,"89,9",36,1.0,0.6,7.9,1.0,"0,6",45,74,1,70.0,245.0,"0,06","0,3",,3784,7125,"0,04","0,04",1,18.0,80,D,DR,S,Sayur,tkpi_main_group,"wortel, segar",wortel,wortel,1 gelas,1.0,gelas,100.0,False,False,False,False,36.0,1.0,0.6,7.9,70.0,245.0,45.0,1.0,False,True
ER022,"Duku, segar",DABM-1964,82,63,1.0,0.2,16.1,4.3,"0,7",18,9,"0,9",2.0,149.0,"0,09","0,2",,0,0,"0,05","0,15","1,5",9.0,64,E,ER,B,Buah,tkpi_main_group,"duku, segar",duku,duku,14 buah sedang,14.0,buah sedang,80.0,False,True,False,False,50.4,0.8,0.16,12.88,1.6,119.2,14.4,3.44,False,True
ER023,"Durian, segar",DABM-1964,65,149,2.5,3.0,21.5,3.5,8,7,44,"1,3",1.0,601.0,"0,12","0,3",,146,175,"0,1","0,19","136,5",53.0,22,E,ER,B,Buah,tkpi_main_group,"durian, segar",durian,durian,2 biji besar,2.0,biji besar,35.0,False,True,False,False,52.15,0.875,1.05,7.525,0.35,210.35,2.45,1.225,False,True
ER035,"Jeruk bali, segar",DABM-1964,86,48,0.6,0.2,12.4,0.8,"0,5",23,27,"0,5",21.0,366.1,"171,25","0,1",,33,20,"0,04",0,"0,4",43.0,62,E,ER,B,Buah,tkpi_main_group,"jeruk bali, segar",jeruk bali,jeruk bali,1 potong,1.0,potong,105.0,False,True,False,False,50.4,0.63,0.21,13.02,22.05,384.405,24.15,0.84,False,True
ER039,"Jeruk manis, segar",DABM-1964,87,45,0.9,0.2,11.2,1.4,"0,5",33,23,"0,4",4.0,472.1,160,"0,2",,0,190,"0,08","0,03","0,2",49.0,72,E,ER,B,Buah,tkpi_main_group,"jeruk manis, segar",jeruk manis,jeruk manis,2 buah sedang,2.0,buah sedang,100.0,False,True,False,False,45.0,0.9,0.2,11.2,4.0,472.1,33.0,1.4,False,True
ER040,"Jeruk nipis, segar",KZGPI- 1990,89,44,0.5,0.2,10.0,0.4,"0,4",18,22,"0,2",3.0,108.9,"0,06","0,1",,23,4,"0,01","0,03","0,2",20.0,76,E,ER,B,Buah,tkpi_main_group,"jeruk nipis, segar",jeruk nipis,jeruk nipis,1 ½ gelas,1.5,gelas,135.0,False,True,False,False,59.4,0.675,0.27,13.5,4.05,147.015,24.3,0.54,False,True
ER048,"Kesemek, segar",DABM-1964,78,78,0.8,0.4,20.0,0.6,"0,6",6,26,"0,3",0.0,34.5,"0,13","0,1",,,2710,,,"0,1",11.0,97,E,ER,B,Buah,tkpi_main_group,"kesemek, segar",kesemek,kesemek,1 ½ buah,1.5,buah,65.0,False,True,False,False,50.7,0.52,0.26,13.0,0.0,22.425,3.9,0.39,False,True
ER054,"Mangga, segar",KZGMI-2001,87,52,0.7,0.0,12.3,1.6,"0,2",20,16,1,3.0,140.0,"0,33",0,,,,,,"0,3",12.0,65,E,ER,B,Buah,tkpi_main_group,"mangga, segar",mangga,mangga,¾ buah besar,0.75,buah besar,90.0,False,True,False,False,46.8,0.6299999999999999,0.0,11.07,2.7,126.0,18.0,1.44,False,True
ER064,"Manggis, segar",DABM-1964,83,63,0.6,0.6,15.6,1.5,"0,2",8,12,"0,8",10.0,61.9,"0,1","0,1",,0,0,"0,03","0,03","0,3",5.0,29,E,ER,B,Buah,tkpi_main_group,"manggis, segar",manggis,manggis,2 buah sedang,2.0,buah sedang,80.0,False,True,False,False,50.4,0.48,0.48,12.48,8.0,49.52,6.4,1.2,False,True
ER065,"Markisa, segar",KZGPI- 1990,65,144,3.5,1.2,29.8,11.4,"0,8",27,203,"1,4",37.0,453.8,"0,11","0,1",0.0,969,691,"0,02","0,17",2,10.0,48,E,ER,B,Buah,tkpi_main_group,"markisa, segar",markisa,markisa,¾ buah sedang,0.75,buah sedang,35.0,False,True,False,False,50.4,1.225,0.42,10.43,12.95,158.83,9.45,3.99,False,True
ER067,"Melon, segar",BKP,91,37,0.6,0.4,7.8,1.0,"0,5",12,14,"0,4",27.0,167.0,"0,3","0,1",,1,0,"0,02","0,1",0,0.0,"58,1",E,ER,B,Buah,tkpi_main_group,"melon, segar",melon,melon,1 potong,1.0,potong,90.0,False,True,False,False,33.3,0.54,0.36,7.02,24.3,150.3,10.8,0.9,False,True
ER074,"Pisang ambon, segar",KZGMI-2001,73,108,1.0,0.8,24.3,1.9,1,20,30,"0,2",10.0,356.3,"0,2","0,2",,37,,"0,05","0,11","0,1",9.0,75,E,ER,B,Buah,tkpi_main_group,"pisang ambon, segar",pisang ambon,pisang ambon,1 buah sedang,1.0,buah sedang,50.0,False,True,False,False,54.0,0.5,0.4,12.15,5.0,178.15,10.0,0.95,False,True
ER081,"Pisang kepok, segar",KZGMI-2001,72,109,0.8,0.5,26.3,5.7,1,10,30,"0,5",10.0,300.0,"0,1","0,2",,0,,"0,1",0,"0,1",9.0,75,E,ER,B,Buah,tkpi_main_group,"pisang kepok, segar",pisang kepok,pisang kepok,1 buah,1.0,buah,45.0,False,True,False,False,49.05,0.36,0.225,11.835,4.5,135.0,4.5,2.565,False,True
ER087,"Pisang mas, segar",DABM-1964,64,127,1.4,0.2,33.6,1.4,"0,6",7,25,"0,8",42.0,392.0,"195,78",,,17,,"0,09","0,08","4,5",2.0,85,E,ER,B,Buah,tkpi_main_group,"pisang mas, segar",pisang mas,pisang mas,2 buah,2.0,buah,40.0,False,True,False,False,50.8,0.56,0.08,13.44,16.8,156.8,2.8,0.56,False,True
ER089,"Pisang raja, segar",DABM-1964,66,120,1.2,0.2,31.8,5.3,1,10,22,"0,8",35.0,582.2,"0,31",,,53,,"0,06","0,14","1,2",10.0,70,E,ER,B,Buah,tkpi_main_group,"pisang raja, segar",pisang raja,pisang raja,2 buah kecil,2.0,buah kecil,40.0,False,True,False,False,48.0,0.48,0.08,12.72,14.0,232.88,4.0,2.12,False,True
ER097,"Rambutan, segar",DABM-1964,81,69,0.9,0.1,18.1,0.8,"0,4",16,16,"0,5",16.0,104.2,"0,17",,,0,,0,"0,07","0,5",58.0,40,E,ER,B,Buah,tkpi_main_group,"rambutan, segar",rambutan,rambutan,8 buah,8.0,buah,75.0,False,True,False,False,51.75,0.675,0.075,13.575,12.0,78.15,12.0,0.6,False,True
ER101,"Salak, segar",DABM-1964,78,77,0.4,,20.9,,"0,7",28,18,"4,2",,,"0,08",,,4,,"0,04",,,2.0,93,E,ER,B,Buah,tkpi_main_group,"salak, segar",salak,salak,2 buah sedang,2.0,buah sedang,65.0,False,True,False,False,50.05,0.26,,13.585,,,18.2,,False,True
ER105,"Semangka, segar",DABM-1964,92,28,0.5,0.2,6.9,0.4,"0,3",7,12,"0,2",7.0,93.8,"0,04",,,315,,"0,05","0,05","0,3",6.0,46,E,ER,B,Buah,tkpi_main_group,"semangka, segar",semangka,semangka,2 potong sedang,2.0,potong sedang,180.0,False,True,False,False,50.4,0.9,0.36,12.42,12.6,168.84,12.6,0.72,False,True
ER106,"Sirsak, segar",DABM-1964,82,65,1.0,0.3,16.3,3.2,"0,7",14,27,"0,6",2.0,298.9,"0,08",1,,8,10,"0,07","0,08","0,7",20.0,68,E,ER,B,Buah,tkpi_main_group,"sirsak, segar",sirsak,sirsak,½ gelas,0.5,gelas,60.0,False,True,False,False,39.0,0.6,0.18,9.78,1.2,179.34,8.4,1.92,False,True
ER108,"Srikaya, segar",KZGPI- 1990,83,63,1.1,0.5,13.9,2.1,"1,1",127,30,"2,7",,,,,0.0,,31,"0,08",,,28.0,48,E,ER,B,Buah,tkpi_main_group,"srikaya, segar",srikaya,srikaya,2 buah besar,2.0,buah besar,50.0,False,True,False,False,31.5,0.55,0.25,6.95,,,63.5,1.05,False,True
FR001,"Anak sapi, daging, gemuk, segar",DABM-1964,62,184,18.8,14.0,0.0,0.0,"5,2",10,200,"2,2",118.0,490.1,"0,17","3,3",12.0,,,,,7,,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, gemuk, segar",daging sapi,"anak sapi, daging, gemuk",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,64.4,6.58,4.9,0.0,41.3,171.535,3.5,0.0,False,True
FR002,"Anak sapi, daging, kurus, segar",DABM-1964,69,174,19.6,10.0,0.0,0.0,"1,4",11,201,"2,9",96.0,399.8,"0,14","2,7",6.0,,,,,"5,7",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, kurus, segar",daging sapi,"anak sapi, daging, kurus",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,60.9,6.86,3.5,0.0,33.6,139.93,3.85,0.0,False,True
FR003,"Anak sapi, daging, sedang, segar",DABM-1964,68,190,19.1,12.0,0.0,0.0,"0,9",11,193,"2,9",99.0,412.7,"0,14","2,8",12.0,,,,,"5,9",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, sedang, segar",daging sapi,"anak sapi, daging, sedang",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,66.5,6.685,4.2,0.0,34.65,144.445,3.85,0.0,False,True
FR005,"Ayam, daging, segar",DABM-1964,"55,9",298,18.2,25.0,0.0,0.0,"0,9",14,200,"1,5",109.0,385.9,"0,11","0,6",245.0,,,,,"10,4",0.0,58,F,FR,LH,Lauk Hewani,tkpi_main_group,"ayam, daging, segar",daging ayam,"ayam, daging",1 potong sedang,1.0,potong sedang,40.0,False,True,False,False,119.2,7.28,10.0,0.0,43.6,154.36,5.6,0.0,False,True
FR024,"Sapi, daging, gemuk, segar",DABM-1964,60,273,17.5,22.0,0.0,0.0,"0,5",10,150,"2,6",93.0,267.0,"0,17","6,4",12.0,,,,,"7,3",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, gemuk, segar",daging sapi,"sapi, daging, gemuk",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,95.55,6.125,7.7,0.0,32.55,93.45,3.5,0.0,False,True
FR025,"Sapi, daging, kurus, segar",DABM-1964,69,174,19.6,10.0,0.0,0.0,"1,4",11,181,"2,9",83.0,489.0,"0,07","4,9",6.0,,,,,"1,2",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, kurus, segar",daging sapi,"sapi, daging, kurus",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,60.9,6.86,3.5,0.0,29.05,171.15,3.85,0.0,False,True
GR001,"Belut, segar",KZGMI-2001,"81,5",70,14.6,0.8,1.0,0.0,"2,1",49,155,"1,5",55.0,169.0,"0,2","1,2",,0,,"0,22","0,12","7,7",,,G,GR,LH,Lauk Hewani,tkpi_main_group,"belut, segar",belut,belut,3 ekor,3.0,ekor,45.0,False,True,False,False,31.5,6.57,0.36,0.45,24.75,76.05,22.05,0.0,False,True
GR003,"Cumi-cumi, segar",KZGPI- 1990,"82,2",75,16.1,0.7,0.1,0.0,"0,9",32,200,"1,8",37.0,204.1,"1,6","1,3",0.0,20,0,"0,08",0,"2,5",0.0,,G,GR,LH,Lauk Hewani,tkpi_main_group,"cumi-cumi, segar",cumi-cumi,cumi-cumi,1 ekor kecil,1.0,ekor kecil,45.0,False,True,False,False,33.75,7.245000000000001,0.3149999999999999,0.045,16.65,91.845,14.4,0.0,False,True
GR030,"Ikan kakap, segar",DABM- 1964,77,92,20.0,0.7,0.0,0.0,"2,3",20,200,1,,,,,9.0,,,"0,05",,,0.0,,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan kakap, segar",ikan kakap,ikan kakap,1/3 ekor besar,0.3333333333333333,ekor besar,35.0,False,True,False,False,32.2,7.0,0.245,0.0,,,7.0,0.0,False,True
GR042,"Ikan lemuru, segar",DABM- 1964,76,112,20.0,3.0,0.0,0.0,1,20,100,1,,,,,30.0,0,,"0,05",,,0.0,80,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan lemuru, segar",ikan lemuru,ikan lemuru,1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,39.2,7.0,1.05,0.0,,,7.0,0.0,False,True
GR046,"Ikan mas, segar",DABM- 1964,80,86,16.0,2.0,0.0,0.0,2,20,150,2,65.0,276.7,"0,1","1,1",45.0,8,,"0,05","0,1","2,6",0.0,80,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan mas, segar",ikan mas,ikan mas,1/3 ekor sedang,0.3333333333333333,ekor sedang,45.0,False,True,False,False,38.7,7.2,0.9,0.0,29.25,124.515,9.0,0.0,False,True
GR074,"Kerang, segar",KZGPI- 1990,"78,2",101,14.4,2.6,3.9,0.0,"0,9",321,270,"15,6",,,,,0.0,,0,"0,01",,,0.0,100,G,GR,LH,Lauk Hewani,tkpi_main_group,"kerang, segar",kerang,kerang,1/2 gelas,0.5,gelas,90.0,False,True,False,False,90.9,12.96,2.34,3.51,,,288.9,0.0,False,True
GP009,"Ikan cakalang asin, mentah",KZGPI- 1990,"41,7",198,36.5,2.2,5.5,0.0,"14,1",236,346,"3,7",4304.0,302.1,,,0.0,,0,"0,06",,,0.0,70,G,GP,LH,Lauk Hewani,tkpi_main_group,"ikan cakalang asin, mentah",ikan cakalang asin,ikan cakalang asin,1 potong sedang,1.0,potong sedang,20.0,True,True,False,False,39.6,7.3,0.44,1.1,860.8,60.42,47.2,0.0,False,True
JR003,"Susu kambing, segar",DABM-1964,"85,9",64,4.3,2.3,6.6,0.0,"0,9",98,78,"2,7",35.0,160.0,"0,33","0,1",38.0,0,,"0,06","0,45","0,3",1.0,100,J,JR,SS,Susu,tkpi_main_group,"susu kambing, segar",susu kambing,susu kambing,3/4 gelas,0.75,gelas,185.0,False,True,False,False,118.4,7.955,4.254999999999999,12.21,64.75,296.0,181.3,0.0,False,True
JR004,"Susu kerbau, segar",DABM-1964,"73,8",160,6.3,12.0,7.1,,"0,8",216,101,"0,2",82.0,,,"0,3",24.0,,,"0,04","0,07",,1.0,100,J,JR,SS,Susu,tkpi_main_group,"susu kerbau, segar",susu kerbau,susu kerbau,1/2 gelas,0.5,gelas,100.0,False,True,False,False,160.0,6.3,12.0,7.1,82.0,,216.0,,False,True
JR006,"Susu sapi, segar",DABM-1964,"88,3",61,3.2,3.5,4.3,0.0,"0,7",143,60,"1,7",36.0,149.0,"0,02","0,3",39.0,12,,"0,03","0,18","0,2",1.0,100,J,JR,SS,Susu,tkpi_main_group,"susu sapi, segar",susu sapi,susu sapi,1 gelas,1.0,gelas,200.0,False,True,False,False,122.0,6.4,7.0,8.6,72.0,298.0,286.0,0.0,False,True
KR009,Minyak kacang tanah,DABM-1964,0,902,0.0,100.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kacang tanah,minyak kacang tanah,minyak kacang tanah,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,45.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,True
KR010,Minyak kedelai,FCTEA-1972,"0,1",883,0.0,99.9,0.0,0.0,0,0,0,0,0.0,0.1,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kedelai,minyak kedelai,minyak kedelai,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,44.15,0.0,4.995,0.0,0.0,0.005,0.0,0.0,False,True
KR011,Minyak kelapa,DABM-1964,0,870,1.0,98.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kelapa,minyak kelapa,minyak kelapa,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,43.5,0.05,4.9,0.0,0.0,0.0,0.0,0.0,False,True
KR014,Minyak zaitun,DABM- 1964,0,884,0.0,100.0,0.0,0.0,0,14,0,"1,2",7.0,0.0,0,0,,0,,0,0,5,,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak zaitun,minyak zaitun,minyak zaitun,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,44.2,0.0,5.0,0.0,0.35,0.0,0.7,0.0,False,True
KP002,Mentega,DABM- 1964,16,742,0.5,81.6,1.4,0.0,"1,9",15,16,"1,1",653.0,103.0,0,"0,4",1000.0,155,,0,"0,1",0,,100,K,KP,M,Minyak / Lemak,keyword_rule,mentega,mentega,mentega,1 sendok makan,1.0,sendok makan,15.0,True,True,False,False,111.3,0.075,12.24,0.21,97.95,15.45,2.25,0.0,False,True
