food_code,food_name,SUMBER,AIR (g),energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,SERAT (g),ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,category_code,is_processed_code,keep_this_food,food_name_normalized,urt_food_name,urt_gram,urt,urt_gram_numeric,_merge,gram_per_portion,URT,match_type,is_usable_for_recommendation,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,gram_per_portion_urt,portion_source
DR057,"daun ndusuk, segar",KZGMI-2001,56,166,1.7,0.5,38.8,"10,7",3,40,20,"1,8",40,310,"0,2","0,7",,14457,,"0,4","0,1","0,1",30,,S,False,True,daun ndusuk,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,166.0,1.7,0.5,38.8,100.0,URT
DR058,"daun oyong, segar",DABM-1964,93,22,1.0,0.1,5.3,2,"0,6",21,44,2,"39,9","295,5","0,1","0,2",,855,1000,"0,08","0,1","0,8",150,65,S,False,True,daun oyong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,22.0,1.0,0.1,5.3,100.0,URT
DR059,"daun pakis, segar",KZGPI-1990,"86,8",39,4.5,0.4,6.9,2,"1,4",136,159,"2,3","20,1","201,9","0,2","0,3",0,1625,3292,"0,02","0,1","0,5",3,70,S,False,True,daun pakis,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,39.0,4.5,0.4,6.9,100.0,URT
DR060,"daun pakis longgiho, segar",KZGMI-2001,"89,5",54,2.2,3.6,3.1,"2,1","1,6",40,80,"0,7",70,500,"0,4","0,1",,168,,"0,4","0,3","0,2",8,70,S,False,True,daun pakis longgiho,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,54.0,2.2,3.6,3.1,100.0,URT
DR061,"daun pakis wambateu, segar",KZGMI-2001,"86,9",53,3.4,1.2,7.2,"4,8","1,3",30,100,"0,3",20,200,"0,2","0,3",,191,,"0,7","0,2","0,3",6,70,S,False,True,daun pakis wambateu,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,53.0,3.4,1.2,7.2,100.0,URT
DR062,"daun paku, segar",KZGMI-2001,"88,8",29,3.4,0.1,6.5,"4,3","1,2",13,88,"1,3",19,434,"0,5","0,7",,18,,"0,2","0,1","11,7",10,70,S,False,True,daun paku,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,29.0,3.4,0.1,6.5,100.0,URT
DR063,"daun pangi,segar",KZGMI-2001,"76,1",104,3.9,0.6,17.9,"8,3","1,5",256,22,"1,8",4,266,"1,7","0,5",,55,,"0,4","0,1","0,1",23,90,S,False,True,daun pangi,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,104.0,3.9,0.6,17.9,100.0,URT
DR064,"daun pare, segar",KZGMI-2001,"87,3",49,2.7,1.0,8.4,3,"1,6",217,70,"3,3",7,498,"0,4","1,2",,1800,,"0,4","0,2","0,6",7,,S,False,True,daun pare,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,49.0,2.7,1.0,8.4,100.0,URT
DR065,"daun pepaya, segar",DABM-1964,"75,4",87,8.0,2.0,11.9,"1,5","2,7",353,63,"0,8","4,4","926,6","0,2","1,5",,5409,18250,"0,15","0,5","1,9",140,71,S,False,True,daun pepaya,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,87.0,8.0,2.0,11.9,100.0,URT
DR066,"daun pohpohan, segar",KZGPI-1990,"87,4",37,2.5,0.8,6.9,"2,6","2,4",744,80,"5,9",,,,,0,,7378,"0,03",,,5,69,S,False,True,daun pohpohan,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,37.0,2.5,0.8,6.9,100.0,URT
DR067,"daun selasih, segar",KZGMI-2001,"83,1",62,4.0,0.5,10.5,"5,3","1,9",122,16,"13,9",3,259,"0,4","0,7",0,4112,,"0,5","0,1","0,2",24,53,S,False,True,daun selasih,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,62.0,4.0,0.5,10.5,100.0,URT
DR068,"daun semanggi, segar",KZGPI-1990,"84,7",45,4.4,0.5,8.5,"1,9","1,9",98,90,7,"64,2","520,7","0,5","0,3",0,64,3365,"0,01","0,5","0,7",6,90,S,False,True,daun semanggi,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,45.0,4.4,0.5,8.5,100.0,URT
DR069,"daun simpur, segar",KZGPI-1990,"86,2",53,3.2,2.5,7.6,"1,6","0,9",228,194,"3,5",,,,,0,,3346,"0,02",,,5,100,S,False,True,daun simpur,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,53.0,3.2,2.5,7.6,100.0,URT
DR070,"daun singkil, segar",KZGPI-1990,"80,9",68,2.0,1.0,15.2,"3,3","0,9",178,86,"2,1",,,,,,,6042,"0,02",,,3,70,S,False,True,daun singkil,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,68.0,2.0,1.0,15.2,100.0,URT
DR071,"daun singkong, segar",KZGPI-1990,"84,4",50,6.2,1.1,7.1,"2,4","1,2",166,99,"1,3","16,5","23,1","0,1",2,0,3204,7052,"0,04","0,1","1,8",103,87,S,False,True,singkong daun,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,50.0,6.2,1.1,7.1,100.0,URT
DR072,"daun singkong ambon, segar",DABM-1964,58,144,12.7,1.2,25.2,"10,2","2,9",165,54,"3,9","44,4","62,2","0,2","5,4",,8627,13000,"0,21",1,"4,2",220,87,S,False,True,singkong daun ambon,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,144.0,12.7,1.2,25.2,100.0,URT
DR073,"daun singkong ampenan, segar",KZGMI-2001,"84,4",50,6.2,1.1,7.1,"2,4","1,2",352,123,"2,7",49,570,"0,2","1,3",,7917,,"0,5","0,1","1,6",103,87,S,False,True,singkong daun ampenan,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,50.0,6.2,1.1,7.1,100.0,URT
DR074,"daun singkong kopang, segar",KZGMI-2001,"81,1",74,6.3,0.7,10.7,"4,6","1,2",142,115,"1,7",32,382,"0,2","1,5",,3882,,"0,5","0,5","1,9",211,87,S,False,True,singkong daun kopang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,74.0,6.3,0.7,10.7,100.0,URT
DR075,"daun sintrong, segar",KZGPI-1990,"88,5",36,2.6,0.9,6.1,"1,7","1,9",398,95,"9,3","64,1","444,4","0,1","0,4",0,10178,8868,"0,03","0,2","0,9",3,94,S,False,True,daun sintrong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,36.0,2.6,0.9,6.1,100.0,URT
DR076,"daun talas, segar",KZGPI-1990,"81,1",59,3.0,0.4,13.5,3,2,236,50,"2,4",4,"854,1","0,4","0,5",0,3816,5740,"0,07","0,6",2,24,80,S,False,True,daun talas,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,59.0,3.0,0.4,13.5,100.0,URT
DR077,"daun tespong, segar",DABM-1964,81,70,2.9,0.3,13.9,"2,3","1,9",155,65,"2,5","72,4",,"0,15","0,9",,171,2500,"0,05","0,7","1,4",21,60,S,False,True,daun tespong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,70.0,2.9,0.3,13.9,100.0,URT
DR078,"daun ubi kuning, segar",KZGMI-2001,"83,5",62,3.7,0.3,11.1,"6,4","1,4",170,40,"0,6",10,0,"0,2","0,5",,3564,,"0,3","0,3","1,2",4,75,S,False,True,daun ubi kuning,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,62.0,3.7,0.3,11.1,100.0,URT
DR079,"daun ubi merah, segar",KZGPI-1990,"84,4",48,3.0,0.3,10.8,"1,4","1,5",80,81,"6,4","32,8","517,3",0,"0,4",0,5453,4697,"0,1","0,2","1,2",27,75,S,False,True,daun ubi merah,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,48.0,3.0,0.3,10.8,100.0,URT
DR080,"daun ubi putih, segar",KZGMI-2001,"87,5",46,2.8,0.2,8.2,"4,8","1,3",120,50,"0,8",10,0,"0,2","0,5",,103,,"0,3","0,3","0,9",8,75,S,False,True,daun ubi putih,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,46.0,2.8,0.2,8.2,100.0,URT
DR081,"daun ubi tinta, segar",KZGMI-2001,"85,1",55,1.7,0.1,11.9,"7,6","1,2",120,40,"0,6",10,0,"0,2","0,5",,516,,"0,2",0,0,7,75,S,False,True,daun ubi tinta,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,55.0,1.7,0.1,11.9,100.0,URT
DR082,"eceng, segar",DABM-1964,93,19,1.0,0.2,3.8,"1,8",2,80,45,"3,7","44,8","634,1",,,,7,1000,"0,08","0,1","0,7",50,70,S,False,True,eceng,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,19.0,1.0,0.2,3.8,100.0,URT
DR083,"gambas (oyong), segar",DABM-1964,"94,5",19,0.8,0.2,4.1,"1,3","0,4",19,33,"0,9","22,9","109,1",0,"0,1",,17,380,"0,03",0,"0,4",8,85,S,False,True,gambas oyong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,19.0,0.8,0.2,4.1,100.0,URT
DR084,"genjer, segar",DABM-1964,90,35,1.7,0.2,7.7,"2,5","0,4",62,33,"2,1",64,"905,8",,,,,3800,"0,07","0,1","1,1",54,70,S,False,True,genjer,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,35.0,1.7,0.2,7.7,100.0,URT
DR085,"jagung muda/ semi, segar",DABM-1964,"89,5",35,2.2,0.1,7.4,"1,9","0,8",7,100,"0,5",353,"230,2","0,1","0,8",0,23,200,"0,08","0,16","0,9",8,100,S,False,True,jagung muda semi,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,35.0,2.2,0.1,7.4,100.0,URT
DR092,"jantung pisang, segar",DABM-1964,"90,2",32,1.2,0.3,7.1,"3,2","1,2",30,50,"0,1",3,524,"0,09","0,3",0,201,170,"0,05","0,03","0,8",10,25,S,False,True,jantung pisang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,32.0,1.2,0.3,7.1,100.0,URT
DR093,"jengkol, segar",KZGMI-2001,"52,7",192,5.4,0.3,40.7,"1,5","0,9",4,150,"0,7",60,241,"0,3","0,6",,,,"0,05","0,2","0,5",31,95,S,False,True,jengkol,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,192.0,5.4,0.3,40.7,100.0,URT
DR094,"jotang, segar",DABM-1964,89,34,1.9,0.3,7.1,"3,5","1,7",162,41,4,"58,5","388,5","0,3","1,2",,2,3918,"0,03",,"0,4",20,70,S,False,True,jotang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,34.0,1.9,0.3,7.1,100.0,URT
DR095,"kabau, segar",KZGMI-2001,"67,2",130,6.7,0.3,25.2,"2,9","0,6",4,204,"0,5",1,"397,8","0,2","0,5",,165,,"0,8","0,1","0,3",16,95,S,False,True,kabau,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,130.0,6.7,0.3,25.2,100.0,URT
DR096,"kacang mekah, polong, segar",KZGPI-1990,"93,6",22,1.1,1.0,3.4,"1,1","0,9",63,296,1,"2,2","69,2","0,3",,0,197,116,"0,02",,"0,4",0,91,S,False,True,kacang mekah polong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,22.0,1.1,1.0,3.4,100.0,URT
DR097,"kacang panjang, segar",KZGMI-2001,"91,8",31,2.3,0.1,5.3,"2,7","0,5",60,64,"0,6",30,213,"0,1","0,5",0,125,,"0,7","0,1","0,3",46,92,S,False,True,kacang panjang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,31.0,2.3,0.1,5.3,100.0,URT
DR098,kacang ranti polong,KZGPI-1990,"88,5",37,3.1,0.2,7.9,"2,5","0,3",103,126,"0,8",,,,,,,2312,"0,02",,,6,83,S,False,True,kacang ranti polong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,37.0,3.1,0.2,7.9,100.0,URT
DR099,"kalakai, segar",KZGMI-2001,"89,9",38,2.4,0.2,6.6,"5,8","0,9",18,90,"1,1",7,443,"0,4","0,9",,44,,"0,3","0,1",,8,70,S,False,True,kalakai,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,38.0,2.4,0.2,6.6,100.0,URT
DR100,"kangkung, segar",KZGPI-1990,91,28,3.4,0.7,3.9,2,1,67,54,"2,3","64,9","250,1","0,13","0,4",,2868,5542,"0,07","0,36",2,17,60,S,False,True,kangkung,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,28.0,3.4,0.7,3.9,100.0,URT
DR101,kangkung tondano,KZGMI-2001,"88,5",43,1.8,0.2,8.4,"4,3","1,1",72,9,"0,7",30,361,"0,3","0,4",,2741,,"0,8","0,1","1,1",23,60,S,False,True,kangkung tondano,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,43.0,1.8,0.2,8.4,100.0,URT
DR102,"kapri muda, segar",DABM-1964,"86,8",45,3.3,0.2,9.0,"1,8","0,7",51,85,1,"1,7","118,4","0,09","0,7",,72,440,"0,2","0,1","0,9",49,80,S,False,True,kapri muda,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,45.0,3.3,0.2,9.0,100.0,URT
DR103,karawila,KZGMI-2001,"93,7",25,2.3,0.2,3.5,"2,1","0,3",25,67,"0,3",8,"88,4","0,08","0,3",,21,,"0,1","0,1","0,4",39,80,S,False,True,karawila,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,25.0,2.3,0.2,3.5,100.0,URT
DR104,"kecipir muda, segar",DABM-1964,"90,4",32,2.9,0.2,5.8,"5,5","0,7",63,37,"0,3","3,3","103,8","0,18","0,4",,261,595,"0,24","0,11","0,7",19,96,S,False,True,kecipir muda,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,32.0,2.9,0.2,5.8,100.0,URT
DR105,"kecombrang, segar",KZGPI-1990,90,34,0.9,1.0,6.7,"2,6","1,4",60,16,1,"47,1","650,6",,,0,0,73,0,"0,02","0,8",0,100,S,False,True,kecombrang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,34.0,0.9,1.0,6.7,100.0,URT
DR106,"kelawi, kluwih, segar",DABM-1964,70,118,1.5,0.3,27.2,5,1,28,32,"0,9",2,"500,9","0,09","0,1",,0,20,"0,1","0,03","0,9",19,77,S,False,True,kelawi kluwih,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,118.0,1.5,0.3,27.2,100.0,URT
DR107,"kembang turi, segar",DABM-1964,"87,4",51,1.8,0.6,9.6,5,"0,6",23,29,"0,9","22,4","275,3","0,15","0,9",,201,105,"0,13","0,12","0,6",41,83,S,False,True,kembang turi,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,51.0,1.8,0.6,9.6,100.0,URT
DR108,"kerokot, segar",DABM-1964,93,26,1.7,0.4,3.8,1,"1,1",103,39,"3,6","3,6","240,5","0,23","0,9",,0,2550,"0,03","0,09","0,2",25,80,S,False,True,kerokot,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,26.0,1.7,0.4,3.8,100.0,URT
DR109,"ketimun, segar",KZGPI-1990,"97,9",8,0.2,0.2,1.4,"0,3","0,3",29,95,"0,8","1,7","57,1","0,02","0,1",0,18,314,"0,01","0,02","0,1",1,55,S,False,True,ketimun,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,8.0,0.2,0.2,1.4,100.0,URT
DR110,"ketimun krai, segar",KZGPI-1990,"96,8",10,0.5,0.2,2.0,"0,6","0,5",20,98,1,"9,7","82,1","0,03","0,1",0,19,21,"0,02","0,03","0,1",3,82,S,False,True,ketimun krai,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,10.0,0.5,0.2,2.0,100.0,URT
DR112,"komak, segar",KZGMI-2001,"74,3",99,3.3,0.1,21.2,"10,3","1,1",50,99,"13,1",15,567,"0,2","0,6",,5,,"0,2","0,19","0,1",,80,S,False,True,komak,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,99.0,3.3,0.1,21.2,100.0,URT
DR113,kool kembang,DABM-1964,"91,7",25,2.4,0.2,4.9,"1,6","0,8",22,72,"1,1","46,5",187,"0,04","0,3",,24,90,"0,11","0,09","0,6",69,57,S,False,True,kool kembang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,25.0,2.4,0.2,4.9,100.0,URT
DR114,"kool merah,kool putih",DABM-1964,"92,4",29,1.4,0.2,5.3,"1,9","0,9",46,31,"0,5","28,3","236,8","0,29","0,3",,46,80,"0,06","0,07","0,3",50,75,S,False,True,kool merah kool putih,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,29.0,1.4,0.2,5.3,100.0,URT
DR115,"koro kerupuk, polong",DABM-1964,"67,2",128,8.3,0.7,22.1,,"1,7",17,12,"2,7",,,,,,,80,"0,11",,,31,68,S,False,True,koro kerupuk polong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,128.0,8.3,0.7,22.1,100.0,URT
DR116,"koro wedus, polong",DABM-1964,88,46,3.0,0.3,7.9,"3,3","0,8",56,47,"1,1",2,"249,3","0,09","0,4",,66,870,"0,09","0,09","0,5",17,70,S,False,True,koro wedus polong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,46.0,3.0,0.3,7.9,100.0,URT
DR117,"kucai, segar",DABM-1964,"86,3",45,2.2,0.3,10.3,"4,8","0,9",52,50,"1,1","21,4","439,5","0,11","0,5",,2685,40,"0,11","0,2","1,8",17,52,S,False,True,kucai,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,45.0,2.2,0.3,10.3,100.0,URT
DR118,"kucai muda (lokio), segar",DABM-1964,86,42,3.8,0.6,7.8,"4,9","1,8",76,91,"2,5","21,8","449,1","0,11","0,5",,2744,500,"0,11","0,2","1,8",59,100,S,False,True,kucai muda lokio,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,42.0,3.8,0.6,7.8,100.0,URT
DR119,kulit melinjo,KZGPI-1990,"71,9",111,4.5,1.1,20.7,5,"1,8",117,179,"2,6",,,,,0,,1267,"0,07",,,7,100,S,False,True,kulit melinjo,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,111.0,4.5,1.1,20.7,100.0,URT
DR120,"kundur, segar",KZGMI-2001,94,22,0.4,0.2,4.7,"1,3","0,7",3,54,"0,5",2,200,"0,1","0,3",,7,,"0,1","0,03","0,4",1,57,S,False,True,kundur,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,22.0,0.4,0.2,4.7,100.0,URT
DR121,"labu air, segar",DABM-1964,95,19,0.6,0.2,3.8,"0,6","0,4",12,18,"0,6","2,2","168,2","0,03","0,8",,11,70,"0,04","0,02","0,4",10,80,S,False,True,labu air,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,19.0,0.6,0.2,3.8,100.0,URT
DR122,"labu kuning, segar",KZGMI-2001,"86,6",51,1.7,0.5,10.0,"2,7","1,2",40,180,"0,7",280,220,"0,35","1,5",,1569,,"0,2",0,"0,1",2,74,S,False,True,labu kuning,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,51.0,1.7,0.5,10.0,100.0,URT
DR123,"labu siam, segar",DABM-1964,"92,3",30,0.6,0.1,6.7,"6,2","0,3",14,25,"0,5","2,7","167,1","0,16",1,,48,20,"0,02",0,"0,6",18,83,S,False,True,labu siam,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,30.0,0.6,0.1,6.7,100.0,URT
DR124,"labu waluh, segar",DABM-1964,"91,2",32,1.1,0.1,6.6,"0,5",1,45,64,"1,4",1,"356,2","0,13","0,3",,712,180,"0,08","0,12","0,6",52,77,S,False,True,labu waluh,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,32.0,1.1,0.1,6.6,100.0,URT
DR125,"lantar, segar",KZGMI-2001,"91,2",34,2.2,0.3,5.5,"2,9","0,8",10,58,"0,4",3,155,"0,2","0,4",,38,,"0,3","0,07","0,4",4,,S,False,True,lantar,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,34.0,2.2,0.3,5.5,100.0,URT
DR126,"lobak, segar",DABM-1964,"94,1",21,0.9,0.1,4.2,"1,4","0,7",35,26,"0,6","49,3","109,3","0,03","0,2",,0,10,"0,03","0,04","0,3",32,87,S,False,True,lobak,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,21.0,0.9,0.1,4.2,100.0,URT
DR127,"lumai/leunca, segar",KZGMI-2001,"90,5",38,1.1,0.3,7.6,2,"0,5",7,55,1,2,,"0,1","0,3",,25,,"0,2","0,1","0,6",17,95,S,False,True,lumai leunca,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,38.0,1.1,0.3,7.6,100.0,URT
DR128,"melinjo, segar",DABM-1964,80,66,5.0,0.7,13.3,,1,163,75,"2,8",,,,,,,1000,"0,1",,,100,60,S,False,True,melinjo,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,66.0,5.0,0.7,13.3,100.0,URT
DR129,mostarda metan- sawi,KZGMI-2001,"91,4",33,2.3,0.5,4.7,"1,8","1,1",60,30,"3,1",20,100,"0,1","0,4",,1575,,"0,2","0,1","0,1",12,85,S,False,True,mostarda metan sawi,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,33.0,2.3,0.5,4.7,100.0,URT
DR130,"nangka muda, segar",DABM-1964,"85,4",57,2.0,0.4,11.3,"8,3","0,9",45,29,"0,5","1,1","246,5","0,04","0,1",,21,25,"0,07","0,06","0,7",9,80,S,False,True,nangka muda,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,57.0,2.0,0.4,11.3,100.0,URT
DR131,"paria putih, segar",KZGPI-1990,"94,4",19,1.0,0.4,3.6,"1,3","0,6",31,65,"0,9","4,7","277,7","0,03","0,8",0,197,80,"0,18","0,04","0,4",58,80,S,False,True,paria putih,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,19.0,1.0,0.4,3.6,100.0,URT
DR132,"pepare ular, segar",KZGMI-2001,"95,1",19,0.6,0.1,3.9,1,"0,3",20,10,"0,4",130,30,"0,1","0,1",,69,,"0,1","0,1","0,1",9,97,S,False,True,pepare ular,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,19.0,0.6,0.1,3.9,100.0,URT
DR133,"pepaya muda, segar",DABM-1964,"92,3",29,2.1,0.1,4.9,"2,1","0,6",50,16,"0,4","21,9","211,2","0,01",0,,0,50,"0,02","0,03","0,3",19,65,S,False,True,pepaya muda,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,29.0,2.1,0.1,4.9,100.0,URT
