food_code,food_name,SUMBER,AIR (g),energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,SERAT (g),ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,category_code,is_processed_code,keep_this_food,food_name_normalized,urt_food_name,urt_gram,urt,urt_gram_numeric,_merge,gram_per_portion,URT,match_type,is_usable_for_recommendation,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,gram_per_portion_urt,portion_source
DR134,"petai, segar",KZGMI-2001,"77,2",92,5.4,1.1,15.2,2,"1,1",14,170,"1,6",55,221,"0,2","0,8",,114,,"0,8","0,1","6,1",34,36,S,False,True,petai,Petai Segar,20,1 Papan/Biji Besar,20.0,both,100.0,1 porsi,category_standard_vegetable,True,92.0,5.4,1.1,15.2,100.0,URT
DR135,"peterseli, segar",DABM-1964,"83,9",53,3.7,1.0,9.0,0,"2,4",193,84,"4,3","18,2","1125,6","0,2","1,4",,2940,8230,"0,11","0,29","0,7",193,95,S,False,True,peterseli,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,53.0,3.7,1.0,9.0,100.0,URT
DR136,"pucuk lumai/daun leunca, segar",KZGMI-2001,91,33,4.5,0.4,2.8,,"1,3",13,75,"2,9",2,0,"0,2","0,6",,,,"0,5","0,1",,41,70,S,False,True,pucuk lumai daun leunca,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,33.0,4.5,0.4,2.8,100.0,URT
DR137,"putri malu, segar",KZGMI-2001,"80,2",76,3.6,0.3,14.6,"7,1","1,3",119,84,"3,3",1,631,"0,6","1,4",,4762,,"0,6","0,6",,6,,S,False,True,putri malu,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,76.0,3.6,0.3,14.6,100.0,URT
DR138,"rebung, segar",KZGMI-2001,"93,3",25,0.8,0.1,5.3,"9,7","0,5",3,5,"0,5",3,206,"0,1","0,4",,10,,"0,2","0,07","0,5",0,28,S,False,True,rebung,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,25.0,0.8,0.1,5.3,100.0,URT
DR139,"rimbang, segar",KZGMI-2001,"80,8",75,1.6,0.6,15.8,10,"1,2",55,97,"0,6",20,234,"0,4","0,4",,51,,"0,4","0,1","1,3",38,95,S,False,True,rimbang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,75.0,1.6,0.6,15.8,100.0,URT
DR140,rumput laut,KZGMI-2001,87,41,1.4,0.3,8.1,"2,2","3,2",80,20,"1,6",250,380,"0,2","0,4",,1958,,"0,2",0,"0,1",7,100,S,False,True,rumput laut,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,41.0,1.4,0.3,8.1,100.0,URT
DR141,"sawi, segar",DABM-1964,"92,2",28,2.3,0.3,4.0,"2,5","1,2",220,38,"2,9","21,9","436,5","0,12","0,2",,2042,6460,"0,09","0,23","0,7",102,87,S,False,True,sawi,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,28.0,2.3,0.3,4.0,100.0,URT
DR142,"sawi putih/ pecai, segar",KZGPI-1990,"96,6",9,1.0,0.1,1.7,"0,8","0,6",56,42,"1,1",5,"193,1","0,05","0,1",0,862,832,"0,05","0,18","0,4",3,79,S,False,True,sawi putih pecai,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,9.0,1.0,0.1,1.7,100.0,URT
DR143,"sawi taiwan, segar",KZGMI-2001,"91,8",30,1.9,0.5,4.4,"2,7","1,4",100,58,"1,6",27,217,"0,1","0,7",,1340,,"0,2","0,1","0,6",33,85,S,False,True,sawi taiwan,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,30.0,1.9,0.5,4.4,100.0,URT
DR144,"sawi tanah, segar",KZGMI-2001,"94,9",19,1.3,0.2,2.9,"2,2",1,92,45,"1,2",17,145,"0,1","0,4",,815,,"0,2","0,1","0,1",36,85,S,False,True,sawi tanah,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,19.0,1.3,0.2,2.9,100.0,URT
DR145,"selada, segar",DABM-1964,"94,8",18,1.2,0.2,2.9,"1,8","0,9",22,25,"0,5","18,6","186,4","0,03","0,2",,1526,540,"0,04","0,13","0,4",8,69,S,False,True,selada,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,18.0,1.2,0.2,2.9,100.0,URT
DR146,"selada air, segar",KZGPI-1990,"93,3",17,3.1,0.2,2.2,"0,7","1,2",95,152,"2,4","64,9","260,7","0,11","0,2",0,1230,3727,"0,09","0,14","0,7",56,70,S,False,True,selada air,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,17.0,3.1,0.2,2.2,100.0,URT
DR147,"seledri, segar",DABM-1964,93,23,1.0,0.1,4.6,2,"1,3",50,40,1,"64,5","258,8","0,08","0,4",,63,130,"0,03","0,07","0,4",11,63,S,False,True,seledri,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,23.0,1.0,0.1,4.6,100.0,URT
DR148,"taoge, segar",KZGPI-1990,"90,4",34,3.7,1.2,4.3,"1,1","0,4",166,74,"0,8","18,9","93,3","0,16","0,4",,41,20,"0,09","0,15","1,1",5,100,S,False,True,taoge,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,34.0,3.7,1.2,4.3,100.0,URT
DR149,"taoge kacang kedelai, segar",DABM-1964,81,76,9.0,2.6,6.4,"0,7",1,50,65,1,"4,7","212,4","0,26","0,7",,0,110,"0,23","0,19","1,2",15,100,S,False,True,taoge kacang kedelai,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,76.0,9.0,2.6,6.4,100.0,URT
DR150,"taoge kacang tunggak, segar",DABM-1964,88,40,5.0,0.2,5.8,"2,6",1,57,88,1,"2,1","226,8","0,07","0,5",,299,0,"0,07","0,08","0,8",15,90,S,False,True,taoge kacang tunggak,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,40.0,5.0,0.2,5.8,100.0,URT
DR151,"tebu terubuk (lilin), segar",DABM-1964,91,30,4.6,0.4,3.0,"0,8",1,40,80,2,"698,6",,"0,2","1,1",,12,0,"0,08","0,2","1,2",50,20,S,False,True,tebu terubuk lilin,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,30.0,4.6,0.4,3.0,100.0,URT
DR152,"tekokak, segar",DABM-1964,89,34,2.0,0.1,7.9,"4,9",1,50,30,2,"2,9","333,3","0,12","0,2",,23,750,"0,08","0,05","0,9",8,95,S,False,True,tekokak,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,34.0,2.0,0.1,7.9,100.0,URT
DR153,"tekokak, kering",DABM-1964,"12,3",302,8.3,1.7,72.6,"21,2","8,1",370,180,"22,2","8,5",0,"1044,2",1,,187,750,"0,4","0,17","5,1",0,100,S,False,True,tekokak,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,302.0,8.3,1.7,72.6,100.0,URT
DR154,"terong, segar",DABM-1964,"92,7",28,1.1,0.2,5.5,"2,1","0,5",15,37,"0,4","8,9",187,"0,1","0,1",,46,30,"0,04","0,03","0,5",5,100,S,False,True,terong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,28.0,1.1,0.2,5.5,100.0,URT
DR155,"terong asam, segar",KZGMI-2001,"90,5",37,2.0,0.4,6.3,"3,2","0,8",13,59,"1,5",3,155,"0,3","0,3",,97,,"0,2","0,1","0,8",4,,S,False,True,terong asam,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,37.0,2.0,0.4,6.3,100.0,URT
DR156,"terung belanda, segar",KZGPI-1990,"87,3",52,2.1,1.1,8.6,"1,4",1,16,40,"1,1",,,,,0,,8048,"0,42","0,06",0,12,100,S,False,True,terung belanda,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,52.0,2.1,1.1,8.6,100.0,URT
DR157,"terung bengkulu, segar",KZGPI-1990,"86,6",52,1.1,0.4,11.2,"3,2","0,8",19,39,"1,1","13,7",,"0,16",1,0,85,600,"0,23","0,04",0,6,100,S,False,True,terung bengkulu,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,52.0,1.1,0.4,11.2,100.0,URT
DR158,"terong hintalo, segar",KZGMI-2001,"89,2",45,1.9,0.8,7.5,"5,1","0,6",19,268,1,167,142,"0,6","0,2",,552,,"0,2","0,4",,4,,S,False,True,terong hintalo,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,45.0,1.9,0.8,7.5,100.0,URT
DR159,terung panjang,KZGPI-1990,"91,8",25,2.1,0.1,5.3,"0,5","0,7",38,24,"0,7","8,8","53,7","0,09","0,2",0,83,24,"0,15","0,06","0,7",8,100,S,False,True,terung panjang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,25.0,2.1,0.1,5.3,100.0,URT
DR160,"tomat, air (sari), segar",DABM-1964,94,20,1.0,0.2,3.5,"0,4","1,3",7,15,"0,4","9,8","225,2","0,06","0,1",,266,600,"0,05","0,03","0,7",10,100,S,False,True,tomat air sari,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,20.0,1.0,0.2,3.5,100.0,URT
DR161,"tomat merah, segar",KZGPI-1990,"92,9",24,1.3,0.5,4.7,"1,5","0,6",8,77,"0,6","9,8","164,9","0,14","0,2",,575,2083,"0,06","0,07","0,4",34,100,S,False,True,tomat merah,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,24.0,1.3,0.5,4.7,100.0,URT
DR162,"tomat muda, segar",DABM-1964,93,24,2.0,0.7,3.3,"1,8",2,5,27,"0,5","10,3",210,"0,07","0,2",,384,320,"0,07","0,04","0,7",30,95,S,False,True,tomat muda,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,24.0,2.0,0.7,3.3,100.0,URT
DR163,"uceng/ bunga melinjo, segar",KZGPI-1990,"79,5",82,5.8,1.3,11.7,"4,8","1,7",70,266,"2,4",,,,,,,58,"0,11","0,15",,3,89,S,False,True,uceng bunga melinjo,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,82.0,5.8,1.3,11.7,100.0,URT
DR164,"umbut kelapa, segar",KZGMI-2001,"89,3",39,2.0,0.2,7.2,"2,5","1,3",57,49,,4,447,"0,2","1,4",,16,,"0,1","0,1",,8,,S,False,True,umbut kelapa,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,39.0,2.0,0.2,7.2,100.0,URT
DR165,umbut rotan,KZGMI-2001,"90,5",34,2.4,0.3,5.5,"2,2","1,3",89,79,"1,3",8,552,"0,2","1,9",,14,,"0,2",,,9,,S,False,True,umbut rotan,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,34.0,2.4,0.3,5.5,100.0,URT
DR166,"wortel, segar",KZGPI-1990,"89,9",36,1.0,0.6,7.9,1,"0,6",45,74,1,70,245,"0,06","0,3",,3784,7125,"0,04","0,04",1,18,80,S,False,True,wortel,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,36.0,1.0,0.6,7.9,100.0,URT
ER003,"apel malang, segar",KZGPI- 1990,86,57,0.5,0.4,12.8,"0,8","0,3",9,18,"0,6",4,"175,4","110,16",0,,26,2240,"0,05","0,03","0,1",5,88,B,False,True,apel malang,Apel malang,75,1 buah sedang,75.0,both,75.0,1 buah sedang,normalized_urt,True,42.75,0.375,0.3,9.6,75.0,URT
ER006,"belimbing, segar",DABM-1964,90,36,0.4,0.4,8.8,"3,2","0,4",4,12,"1,1",4,130,,"0,1",,29,170,"0,03",,,35,86,B,False,True,belimbing,Belimbing,125-140,1 buah besar,132.5,both,132.5,1 buah besar,normalized_urt,True,47.7,0.53,0.53,11.66,132.5,URT
ER022,"duku, segar",DABM-1964,82,63,1.0,0.2,16.1,"4,3","0,7",18,9,"0,9",2,149,"0,09","0,2",,0,0,"0,05","0,15","1,5",9,64,B,False,True,duku,Duku,80,10-16 buah sedang,80.0,both,80.0,10-16 buah sedang,normalized_urt,True,50.4,0.8,0.16,12.88,80.0,URT
ER023,"durian, segar",DABM-1964,65,149,2.5,3.0,21.5,"3,5",8,7,44,"1,3",1,601,"0,12","0,3",,146,175,"0,1","0,19","136,5",53,22,B,False,True,durian,Durian,35,2 biji besar,35.0,both,35.0,2 biji besar,normalized_urt,True,52.15,0.875,1.05,7.525,35.0,URT
ER030,"jambu air, segar",DABM-1964,87,46,0.6,0.2,11.8,"2,1","0,8",8,9,"1,1",11,"321,2",,"0,1",,92,,"0,02","0,38","4,6",5,90,G,False,True,jambu air,Jambu air,100,2 buah sedang,100.0,both,100.0,2 buah sedang,normalized_urt,True,46.0,0.6,0.2,11.8,100.0,URT
ER031,jambu biji,DABM-1964,86,64,0.9,0.3,12.2,"2,4","0,6",14,28,"1,1",10,"52,8","0,02","0,3",,27,25,"0,02","0,03","0,8",87,82,G,False,True,jambu biji,Jambu biji,100,1 buah besar,100.0,both,100.0,1 buah besar,normalized_urt,True,64.0,0.9,0.3,12.2,100.0,URT
ER033,"jambu bol, segar",KZGMI-2001,87,49,2.3,0.2,9.6,"3,5","0,8",8,8,"0,3",1,14,0,0,,92,,"0,13","0,01","0,5",22,67,G,False,True,jambu bol,Jambu bol,90,1 buah kecil,90.0,both,90.0,1 buah kecil,normalized_urt,True,44.1,2.07,0.18,8.64,90.0,URT
ER035,"jeruk bali, segar",DABM-1964,86,48,0.6,0.2,12.4,"0,8","0,5",23,27,"0,5",21,"366,1","171,25","0,1",,33,20,"0,04",0,"0,4",43,62,B,False,True,jeruk bali,Jeruk bali,105,1 potong,105.0,both,105.0,1 potong,normalized_urt,True,50.4,0.63,0.21,13.02,105.0,URT
ER039,"jeruk manis, segar",DABM-1964,87,45,0.9,0.2,11.2,"1,4","0,5",33,23,"0,4",4,"472,1",160,"0,2",,0,190,"0,08","0,03","0,2",49,72,B,False,True,jeruk manis,Jeruk manis,100,2 buah sedang,100.0,both,100.0,2 buah sedang,normalized_urt,True,45.0,0.9,0.2,11.2,100.0,URT
ER040,"jeruk nipis, segar",KZGPI- 1990,89,44,0.5,0.2,10.0,"0,4","0,4",18,22,"0,2",3,"108,9","0,06","0,1",,23,4,"0,01","0,03","0,2",20,76,B,False,True,jeruk nipis,Jeruk nipis,135,1 ½ gelas,135.0,both,135.0,1 ½ gelas,normalized_urt,True,59.4,0.675,0.27,13.5,135.0,URT
ER043,"kedondong masak, segar",DABM-1964,88,46,1.0,0.1,10.3,"2,6","0,6",15,22,"2,8",2,"216,2","0,03","0,1",,164,233,"0,08","0,23","0,3",30,58,B,False,True,kedondong,Kedondong,100/120,2 buah sedang/besar,110.0,both,110.0,2 buah sedang/besar,normalized_urt,True,50.6,1.1,0.11,11.33,110.0,URT
ER044,"kedondong, segar",KZGMI-2001,88,47,0.5,0.2,10.4,"2,7","0,6",7,58,"0,8",2,0,,"0,2",,,,,,"0,4",32,58,B,False,True,kedondong,Kedondong,100/120,2 buah sedang/besar,110.0,both,110.0,2 buah sedang/besar,normalized_urt,True,51.7,0.55,0.22,11.44,110.0,URT
ER048,"kesemek, segar",DABM-1964,78,78,0.8,0.4,20.0,"0,6","0,6",6,26,"0,3",0,"34,5","0,13","0,1",,,2710,,,"0,1",11,97,B,False,True,kesemek,Kesemek,65,1 ½ buah,65.0,both,65.0,1 ½ buah,normalized_urt,True,50.7,0.52,0.26,13.0,65.0,URT
ER054,"mangga, segar",KZGMI-2001,87,52,0.7,0.0,12.3,"1,6","0,2",20,16,1,3,140,"0,33",0,,,,,,"0,3",12,65,B,False,True,mangga,Mangga,90,¾ buah besar,90.0,both,90.0,¾ buah besar,normalized_urt,True,46.8,0.6299999999999999,0.0,11.07,90.0,URT
ER064,"manggis, segar",DABM-1964,83,63,0.6,0.6,15.6,"1,5","0,2",8,12,"0,8",10,"61,9","0,1","0,1",,0,0,"0,03","0,03","0,3",5,29,B,False,True,manggis,Manggis,80,2 buah sedang,80.0,both,80.0,2 buah sedang,normalized_urt,True,50.4,0.48,0.48,12.48,80.0,URT
ER065,"markisa, segar",KZGPI- 1990,65,144,3.5,1.2,29.8,"11,4","0,8",27,203,"1,4",37,"453,8","0,11","0,1",0,969,691,"0,02","0,17",2,10,48,B,False,True,markisa,Markisa,35,¾ buah sedang,35.0,both,35.0,¾ buah sedang,normalized_urt,True,50.4,1.225,0.42,10.43,35.0,URT
ER067,"melon, segar",BKP,91,37,0.6,0.4,7.8,1,"0,5",12,14,"0,4",27,167,"0,3","0,1",,1,0,"0,02","0,1",0,0,"58,1",B,False,True,melon,Melon,90,1 potong,90.0,both,90.0,1 potong,normalized_urt,True,33.3,0.54,0.36,7.02,90.0,URT
ER073,"pepaya, segar",DABM-1964,87,46,0.5,0.1,12.2,"1,6","0,6",23,12,"1,7",4,221,"0,02","0,3",,1038,365,"0,04","0,06","0,4",78,75,B,False,True,pepaya,Pepaya,100-190,1 potong besar,145.0,both,145.0,1 potong besar,normalized_urt,True,66.7,0.725,0.145,17.69,145.0,URT
ER074,"pisang ambon, segar",KZGMI-2001,73,108,1.0,0.8,24.3,"1,9",1,20,30,"0,2",10,"356,3","0,2","0,2",,37,,"0,05","0,11","0,1",9,75,B,False,True,pisang ambon,Pisang ambon,50,1 buah sedang,50.0,both,50.0,1 buah sedang,normalized_urt,True,54.0,0.5,0.4,12.15,50.0,URT
ER081,"pisang kepok, segar",KZGMI-2001,72,109,0.8,0.5,26.3,"5,7",1,10,30,"0,5",10,300,"0,1","0,2",,0,,"0,1",0,"0,1",9,75,B,False,True,pisang kepok,Pisang kepok,45,1 buah,45.0,both,45.0,1 buah,normalized_urt,True,49.05,0.36,0.225,11.835,45.0,URT
ER087,"pisang mas, segar",DABM-1964,64,127,1.4,0.2,33.6,"1,4","0,6",7,25,"0,8",42,392,"195,78",,,17,,"0,09","0,08","4,5",2,85,B,False,True,pisang mas,Pisang mas,40,2 buah,40.0,both,40.0,2 buah,normalized_urt,True,50.8,0.56,0.08,13.44,40.0,URT
ER089,"pisang raja, segar",DABM-1964,66,120,1.2,0.2,31.8,"5,3",1,10,22,"0,8",35,"582,2","0,31",,,53,,"0,06","0,14","1,2",10,70,B,False,True,pisang raja,Pisang raja,40,2 buah kecil,40.0,both,40.0,2 buah kecil,normalized_urt,True,48.0,0.48,0.08,12.72,40.0,URT
ER097,"rambutan, segar",DABM-1964,81,69,0.9,0.1,18.1,"0,8","0,4",16,16,"0,5",16,"104,2","0,17",,,0,,0,"0,07","0,5",58,40,B,False,True,rambutan,Rambutan,75,8 buah,75.0,both,75.0,8 buah,normalized_urt,True,51.75,0.675,0.075,13.575,75.0,URT
ER105,"semangka, segar",DABM-1964,92,28,0.5,0.2,6.9,"0,4","0,3",7,12,"0,2",7,"93,8","0,04",,,315,,"0,05","0,05","0,3",6,46,B,False,True,semangka,Semangka,180,2 potong sedang,180.0,both,180.0,2 potong sedang,normalized_urt,True,50.4,0.9,0.36,12.42,180.0,URT
ER106,"sirsak, segar",DABM-1964,82,65,1.0,0.3,16.3,"3,2","0,7",14,27,"0,6",2,"298,9","0,08",1,,8,10,"0,07","0,08","0,7",20,68,B,False,True,sirsak,Sirsak,60,½ gelas,60.0,both,60.0,½ gelas,normalized_urt,True,39.0,0.6,0.18,9.78,60.0,URT
ER108,"srikaya, segar",KZGPI- 1990,83,63,1.1,0.5,13.9,"2,1","1,1",127,30,"2,7",,,,,0,,31,"0,08",,,28,48,B,False,True,srikaya,Srikaya,50,2 buah besar,50.0,both,50.0,2 buah besar,normalized_urt,True,31.5,0.55,0.25,6.95,50.0,URT
GR001,"belut, segar",KZGMI-2001,"81,5",70,14.6,0.8,1.0,0,"2,1",49,155,"1,5",55,169,"0,2","1,2",,0,,"0,22","0,12","7,7",,,LH,False,True,belut,Belut,45,3 ekor,45.0,both,45.0,3 ekor,normalized_urt,True,31.5,6.57,0.36,0.45,45.0,URT
GR003,"cumi-cumi, segar",KZGPI- 1990,"82,2",75,16.1,0.7,0.1,0,"0,9",32,200,"1,8",37,"204,1","1,6","1,3",0,20,0,"0,08",0,"2,5",0,,LH,False,True,cumi cumi,Cumi-cumi,45,1 ekor kecil,45.0,both,45.0,1 ekor kecil,normalized_urt,True,33.75,7.245000000000001,0.31499999999999995,0.045,45.0,URT
GR030,"ikan kakap, segar",DABM- 1964,77,92,20.0,0.7,0.0,0,"2,3",20,200,1,,,,,9,,,"0,05",,,0,,LH,False,True,ikan kakap,Ikan kakap,35,1/3 ekor besar,35.0,both,35.0,1/3 ekor besar,normalized_urt,True,32.2,7.0,0.245,0.0,35.0,URT
GR042,"ikan lemuru, segar",DABM- 1964,76,112,20.0,3.0,0.0,0,1,20,100,1,,,,,30,0,,"0,05",,,0,80,LH,False,True,ikan lemuru,Ikan lemuru,35,1 potong sedang,35.0,both,35.0,1 potong sedang,normalized_urt,True,39.2,7.0,1.05,0.0,35.0,URT
GR046,"ikan mas, segar",DABM- 1964,80,86,16.0,2.0,0.0,0,2,20,150,2,65,"276,7","0,1","1,1",45,8,,"0,05","0,1","2,6",0,80,LH,False,True,ikan emas,Ikan mas,45,1/3 ekor sedang,45.0,both,45.0,1/3 ekor sedang,normalized_urt,True,38.7,7.2,0.9,0.0,45.0,URT
GR068,"ikan teri, segar",KZGPI- 1990,80,74,10.3,1.4,4.1,0,"4,2",972,253,"3,9",554,"126,1","305,2","0,2",13,0,28,"0,24","0,1","1,9",0,100,LH,False,True,ikan teri,Ikan Teri Kering,20,1 sendok makan,20.0,both,20.0,1 sendok makan,normalized_urt,True,14.8,2.06,0.28,0.82,20.0,URT
GR068,"ikan teri, segar",KZGPI- 1990,80,74,10.3,1.4,4.1,0,"4,2",972,253,"3,9",554,"126,1","305,2","0,2",13,0,28,"0,24","0,1","1,9",0,100,LH,False,True,ikan teri,Ikan teri kering,20,1 sendok makan,20.0,both,20.0,1 sendok makan,normalized_urt,True,14.8,2.06,0.28,0.82,20.0,URT
GR074,"kerang, segar",KZGPI- 1990,"78,2",101,14.4,2.6,3.9,0,"0,9",321,270,"15,6",,,,,0,,0,"0,01",,,0,100,LH,False,True,kerang,Kerang,90,1/2 gelas,90.0,both,90.0,1/2 gelas,normalized_urt,True,90.9,12.96,2.34,3.51,90.0,URT
GR084,"udang, segar",DABM- 1964,75,91,21.0,0.2,0.1,0,"3,7",136,170,8,178,"222,4","0,3","1,3",18,4,,"0,01","0,4","3,7",0,68,LH,False,True,udang,Udang segar,35,5 ekor sedang,35.0,both,35.0,5 ekor sedang,normalized_urt,True,31.85,7.35,0.07,0.035,35.0,URT
JR003,"susu kambing, segar",DABM-1964,"85,9",64,4.3,2.3,6.6,0,"0,9",98,78,"2,7",35,160,"0,33","0,1",38,0,,"0,06","0,45","0,3",1,100,SS,False,True,susu kambing,Susu kambing,185,3/4 gelas,185.0,both,185.0,3/4 gelas,normalized_urt,True,118.4,7.955,4.254999999999999,12.21,185.0,URT
JR004,"susu kerbau, segar",DABM-1964,"73,8",160,6.3,12.0,7.1,,"0,8",216,101,"0,2",82,,,"0,3",24,,,"0,04","0,07",,1,100,SS,False,True,susu kerbau,Susu kerbau,100,1/2 gelas,100.0,both,100.0,1/2 gelas,normalized_urt,True,160.0,6.3,12.0,7.1,100.0,URT
JR006,"susu sapi, segar",DABM-1964,"88,3",61,3.2,3.5,4.3,0,"0,7",143,60,"1,7",36,149,"0,02","0,3",39,12,,"0,03","0,18","0,2",1,100,SS,False,True,susu sapi,Susu sapi,200,1 gelas,200.0,both,200.0,1 gelas,normalized_urt,True,122.0,6.4,7.0,8.6,200.0,URT
